id,Name,Address,Lat,Long,Number of Ratings,Restaurant Rating,Type of Restaurant,Number of Bookmarks,Price Range,Phone Number,Website,Instagram,Facebook,Timetable,url,Total Work Hours,Days Open,Average Daily Hours,Total Social Media,Has Social Media,Popularity
11,Kiraku,"Calle de Miguel Moya 6,Madrid,Spain,28004",40.42086,-3.705487,0.0,0.0,"['Japanese', 'Asian']",0,2,+34-915227574,1,1,0,"{'Monday': 'Closed', 'Tuesday': '17:30 - 22:00', 'Wednesday': '17:30 - 22:00', 'Thursday': '17:30 - 22:00', 'Friday': '17:30 - 23:00', 'Saturday': '17:30 - 23:00', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/kiraku-madrid-405914,24.5,5.0,3.5,2,1,0.19496768698035297
12,GEISHA ,"C. de las Navas de Tolosa, 6,Madrid,Spain,28013",40.419258,-3.706581,1.0,4.0,[],3,0,+34-614177950,0,1,0,"{'Monday': '09:00 - 18:00', 'Tuesday': '09:00 - 18:00', 'Wednesday': '09:00 - 18:00', 'Thursday': '09:00 - 19:00', 'Friday': '09:00 - 20:00', 'Saturday': '09:00 - 20:00', 'Sunday': '09:00 - 20:00'}",https://www.happycow.net/reviews/geisha-madrid-408421,70.0,7.0,10.0,1,1,0.23254263652019336
13,Xiongzai II,"Calle de la Salud, 8,Madrid,Spain,28013",40.419475,-3.702994,4.0,3.0,"['Chinese', 'Asian']",35,2,+34-910749665,1,0,0,"{'Monday': 'Closed', 'Tuesday': '12:30 - 17:00, 18:30 - 23:00', 'Wednesday': '12:30 - 17:00, 18:30 - 23:00', 'Thursday': '12:30 - 17:00, 18:30 - 23:00', 'Friday': '12:30 - 17:00, 18:30 - 23:00', 'Saturday': '12:30 - 17:00, 18:30 - 23:00', 'Sunday': '12:30 - 17:00, 18:30 - 23:00'}",https://www.happycow.net/reviews/xiongzai-ii-madrid-258675,54.0,6.0,7.71,1,1,0.2701312890024628
14,Naked and Sated - Maestro Victoria,"C. del Maestro Victoria, 5,Madrid,Spain,28013",40.418445,-3.705356,9.0,3.0,"['International', 'Mediterranean', 'Fusion', 'Spanish']",35,2,+34-914442277,1,0,1,"{'Monday': '13:00 - 00:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 00:00', 'Friday': '13:00 - 00:00', 'Saturday': '11:00 - 00:00', 'Sunday': '11:00 - 23:30'}",https://www.happycow.net/reviews/naked-and-sated-madrid-251540,80.5,7.0,11.5,2,1,0.32751773049645394
15,Tropicalista GastroBar,"C. de la Ballesta, 2,Madrid,Spain,28004",40.421114,-3.703581,1.0,4.0,['Brazilian'],0,2,+34-915233185,1,1,1,"{'Monday': '19:30 - 00:30', 'Tuesday': '19:30 - 00:30', 'Wednesday': '19:30 - 00:30', 'Thursday': '19:30 - 00:30', 'Friday': '13:30 - 17:30, 19:30 - 01:00', 'Saturday': '13:30 - 01:00', 'Sunday': '14:00 - 00:00'}",https://www.happycow.net/reviews/tropicalista-gastrobar-madrid-409065,51.0,7.0,7.29,3,1,0.2818428605818195
16,AbonaVida,"Calle Navas de Tolosa 3,Madrid,Spain",40.41915,-3.706617,20.0,3.0,['Mediterranean'],44,2,+34-915229860,1,0,1,"{'Monday': '09:00 - 02:00', 'Tuesday': '09:00 - 02:00', 'Wednesday': '09:00 - 02:00', 'Thursday': '09:00 - 02:00', 'Friday': '09:00 - 02:00', 'Saturday': '13:00 - 02:00', 'Sunday': '13:00 - 02:00'}",https://www.happycow.net/reviews/abonavida-madrid-58755,111.0,7.0,15.86,2,1,0.2796096513156676
17,Lopez and Lopez - Malasana,"C de Loreto y Chicote, 3,Madrid,Spain,28004",40.421348,-3.703752,4.0,3.5,"['International', 'Italian']",11,2,+34-910442022,1,0,1,"{'Monday': '20:00 - 00:30', 'Tuesday': '20:00 - 00:30', 'Wednesday': '13:30 - 17:00, 20:00 - 00:30', 'Thursday': '13:30 - 17:00, 20:00 - 00:30', 'Friday': '13:30 - 17:00, 20:00 - 01:30', 'Saturday': '13:30 - 17:00, 20:00 - 01:30', 'Sunday': '13:30 - 17:00, 20:00 - 00:30'}",https://www.happycow.net/reviews/lopez-and-lopez-madrid-265273,51.0,7.0,7.29,2,1,0.3504301612873359
18,Artemisa Sol,"Calle Tres Cruces 4, Gran Via,Madrid,Spain,28013",40.419263,-3.702862,45.0,4.0,['Spanish'],72,2,+34-915218721,1,0,1,"{'Monday': '13:30 - 16:00, 20:00 - 23:00', 'Tuesday': '13:30 - 16:00', 'Wednesday': '13:30 - 16:00', 'Thursday': '13:30 - 16:00', 'Friday': '13:30 - 16:00, 20:00 - 23:00', 'Saturday': '13:30 - 16:00, 20:00 - 23:00', 'Sunday': '13:30 - 16:00, 20:00 - 23:00'}",https://www.happycow.net/reviews/artemisa-sol-madrid-34403,29.5,7.0,4.21,2,1,0.32803992370794216
19,Lamucca del Carmen,"Plaza del Carmen, 5,Madrid,Spain,28013",40.418998,-3.7029,1.0,4.0,"['American', 'Mediterranean']",2,2,+34-915210000,1,1,1,"{'Monday': '10:00 - 01:30', 'Tuesday': '10:00 - 01:30', 'Wednesday': '10:00 - 01:30', 'Thursday': '10:00 - 02:00', 'Friday': '10:00 - 02:30', 'Saturday': '10:00 - 02:30', 'Sunday': '10:00 - 01:30'}",https://www.happycow.net/reviews/lamucca-del-carmen-madrid-376382,111.0,7.0,15.86,3,1,0.2845127122567265
20,Pans & Company - Gran Vía,"Calle Gran Vía, 30,Madrid,Spain,28013",40.420227,-3.702465,7.0,3.5,"['Mediterranean', 'Spanish']",20,1,+34-915326510,1,1,1,"{'Monday': '10:00 - 23:00', 'Tuesday': '10:00 - 23:00', 'Wednesday': '10:00 - 23:00', 'Thursday': '10:00 - 23:00', 'Friday': '10:00 - 00:00', 'Saturday': '10:00 - 00:00', 'Sunday': '10:00 - 23:00'}",https://www.happycow.net/reviews/pans-and-company-madrid-190217,93.0,7.0,13.29,3,1,0.10156657963446475
21,El Ideal Bar,"Calle Estrella, 3,Madrid,Spain,28004",40.421919,-3.70603,0.0,0.0,['Spanish'],6,1,+34-651829373,0,1,1,"{'Monday': 'Closed', 'Tuesday': '19:00 - 02:00', 'Wednesday': '19:00 - 02:00', 'Thursday': '19:00 - 02:00', 'Friday': '19:00 - 02:30', 'Saturday': '19:00 - 02:30', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/el-ideal-bar-madrid-109777,36.0,5.0,5.14,2,1,0.17888413606651482
22,Jardín Secreto,"37 Calle de la Montera,Madrid,Spain,28013",40.419075,-3.702206,1.0,1.0,"['European', 'Spanish']",18,3,+34-915311251,1,0,0,"{'Monday': '11:00 - 00:00', 'Tuesday': '11:00 - 00:00', 'Wednesday': '11:00 - 00:00', 'Thursday': '11:00 - 01:00', 'Friday': '11:00 - 01:00', 'Saturday': '11:00 - 01:00', 'Sunday': '11:00 - 00:00'}",https://www.happycow.net/reviews/jardin-secreto-madrid-287468,94.0,7.0,13.43,1,1,0.6082136177619762
23,B13 Bar,"Calle de la Ballesta 13,Madrid,Spain,28004",40.421924,-3.703419,302.0,4.5,"['Western', 'Spanish']",528,1,+34-911704435,0,0,0,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '13:30 - 16:30, 20:00 - 23:00', 'Thursday': '13:30 - 16:30, 20:00 - 23:00', 'Friday': '13:30 - 16:30, 20:00 - 00:00', 'Saturday': '13:30 - 16:30, 20:00 - 00:00', 'Sunday': '13:30 - 16:30, 20:00 - 23:00'}",https://www.happycow.net/reviews/b13-bar-madrid-34434,32.0,5.0,4.57,0,0,0.2608510638297873
24,Brunch Club ,"C. del Barco, 15,Madrid,Spain,28004",40.4216,-3.702822,1.0,4.0,['Western'],0,0,+34-910461934,1,1,1,"{'Monday': '09:30 - 16:30', 'Tuesday': '09:30 - 16:30', 'Wednesday': '09:30 - 16:30', 'Thursday': '09:30 - 16:30', 'Friday': '09:30 - 16:30', 'Saturday': '09:30 - 16:30', 'Sunday': '09:30 - 16:30'}",https://www.happycow.net/reviews/brunch-club-madrid-409688,49.0,7.0,7.0,3,1,0.29418439716312056
25,Chila - 湘遇,"Calle de Silva, 4,Madrid,Spain,28013",40.420631,-3.707712,1.0,4.0,"['Chinese', 'Asian']",0,2,+34-690252451,1,1,0,"{'Monday': '12:00 - 23:00', 'Tuesday': '12:00 - 23:00', 'Wednesday': '12:00 - 23:00', 'Thursday': '12:00 - 23:00', 'Friday': '12:00 - 23:00', 'Saturday': '12:00 - 23:00', 'Sunday': '12:00 - 23:00'}",https://www.happycow.net/reviews/chila-madrid-422020,77.0,7.0,11.0,2,1,0.26411977112382645
26,Burnout - Valverde,"6 Calle de Valverde,Madrid,Spain,28004",40.420808,-3.702088,3.0,4.0,"['American', 'Western']",6,2,+34-915991085,1,0,0,"{'Monday': '13:00 - 16:30, 20:00 - 23:30', 'Tuesday': '13:00 - 16:30, 20:00 - 23:30', 'Wednesday': '13:00 - 16:30, 20:00 - 23:30', 'Thursday': '13:00 - 16:30', 'Friday': '13:00 - 17:00', 'Saturday': '13:00 - 17:00', 'Sunday': '13:00 - 17:00, 20:00 - 23:30'}",https://www.happycow.net/reviews/burnout-madrid-259614,40.0,7.0,5.71,1,1,0.2599411143825343
27,Lemongrass,"36, Calle Montera,Madrid,Spain,28013",40.419182,-3.701816,13.0,3.5,"['Thai', 'Asian']",34,1,+34-915224738,1,0,1,"{'Monday': '12:00 - 00:00', 'Tuesday': '12:00 - 00:00', 'Wednesday': '12:00 - 00:00', 'Thursday': '12:00 - 00:00', 'Friday': '12:00 - 00:00', 'Saturday': '12:00 - 00:00', 'Sunday': '12:00 - 00:00'}",https://www.happycow.net/reviews/lemongrass-madrid-60248,84.0,7.0,12.0,2,1,0.46394459567061086
28,La Huerta Funky Castizo,"C de las Conchas, 8,Madrid,Spain,28013",40.418956,-3.708069,60.0,5.0,"['Italian', 'European', 'Fusion']",177,2,+34-917003596,1,1,1,"{'Monday': '17:00 - 02:00', 'Tuesday': '17:00 - 02:00', 'Wednesday': '12:00 - 02:00', 'Thursday': '12:00 - 02:00', 'Friday': '12:00 - 02:30', 'Saturday': '12:00 - 02:30', 'Sunday': '12:00 - 02:00'}",https://www.happycow.net/reviews/la-huerta-funky-castizo-madrid-356550,89.0,7.0,12.71,3,1,0.26025739310779034
29,Amargo Place To Be,"2 Calle del Pez,Madrid,Spain,28004",40.422686,-3.70372,2.0,3.0,"['International', 'Western', 'Spanish']",20,2,+34-910847990,1,0,1,"{'Monday': '10:00 - 23:00', 'Tuesday': '10:00 - 23:00', 'Wednesday': '10:00 - 23:00', 'Thursday': '10:00 - 23:00', 'Friday': '10:00 - 23:00', 'Saturday': '10:00 - 23:00', 'Sunday': '10:00 - 23:00'}",https://www.happycow.net/reviews/amargo-place-to-be-madrid-239392,91.0,7.0,13.0,2,1,0.24906431124196804
30,Celicioso - Hortaleza,"Calle Hortaleza, 3,Madrid,Spain",40.420354,-3.701102,40.0,3.5,"['Mediterranean', 'European', 'Spanish']",32,0,+34-915318887,1,0,1,"{'Monday': '09:00 - 21:30', 'Tuesday': '09:00 - 21:30', 'Wednesday': '09:00 - 21:30', 'Thursday': '09:00 - 21:30', 'Friday': '09:00 - 21:30', 'Saturday': '09:00 - 21:30', 'Sunday': '09:00 - 21:30'}",https://www.happycow.net/reviews/celicioso-madrid-68327,87.5,7.0,12.5,2,1,0.2323530174249579
31,Casa Jaguar,"Calle de los Canos del Peral, 9,Madrid,Spain,28013",40.419105,-3.708648,3.0,4.0,"['Mexican', 'Latin']",12,2,+34-910245712,0,0,0,"{'Monday': 'Closed', 'Tuesday': '18:00 - 00:00', 'Wednesday': '13:00 - 17:00', 'Thursday': 'Closed', 'Friday': 'Closed', 'Saturday': 'Closed', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/casa-jaguar-madrid-91345,10.0,2.0,1.43,0,0,0.2336647964002
32,Wok to Walk - Hortaleza,"C/ Hortaleza, 7,Madrid,Spain,28004",40.420616,-3.700888,9.0,3.0,"['Chinese', 'Asian']",23,1,No phone number,1,0,1,"{'Monday': '12:00 - 00:00', 'Tuesday': '12:00 - 00:00', 'Wednesday': '12:00 - 00:00', 'Thursday': '12:00 - 00:00', 'Friday': '12:00 - 02:00', 'Saturday': '12:00 - 02:00', 'Sunday': '12:00 - 00:00'}",https://www.happycow.net/reviews/wok-to-walk-madrid-57755,88.0,7.0,12.57,2,1,0.23111160491083832
33,Dokdo Korea,"Calle de los Caños del Peral, 5,Madrid,Spain,28013",40.418861,-3.708807,6.0,3.0,"['Asian', 'Korean']",23,2,+34-910446237,0,0,1,"{'Monday': '09:00 - 21:00', 'Tuesday': '09:00 - 21:00', 'Wednesday': '09:00 - 21:00', 'Thursday': '09:00 - 21:00', 'Friday': '09:00 - 21:00', 'Saturday': '09:00 - 21:00', 'Sunday': '09:00 - 21:00'}",https://www.happycow.net/reviews/dokdo-korea-madrid-211039,84.0,7.0,12.0,1,1,0.25222376534636964
34,Wok to Walk - Calle Mayor,"Calle Mayor, 4,Madrid,Spain,28013",40.416717,-3.705068,7.0,3.5,"['Chinese', 'Asian']",24,1,No phone number,1,0,1,"{'Monday': '12:00 - 01:00', 'Tuesday': '12:00 - 01:00', 'Wednesday': '12:00 - 01:00', 'Thursday': '12:00 - 01:00', 'Friday': '12:00 - 02:00', 'Saturday': '12:00 - 02:00', 'Sunday': '12:00 - 01:00'}",https://www.happycow.net/reviews/wok-to-walk-madrid-138240,93.0,7.0,13.29,2,1,0.2699353739607059
35,The Veggie Point,"Various locations throughout Spain (at Based in Madrid.),Madrid,Spain,28021",40.416775,-3.70379,2.0,5.0,[],6,0,+34-636803919,1,1,0,Closed,https://www.happycow.net/reviews/the-veggie-point-madrid-383874,0.0,0.0,0.0,2,1,0.33548988019184117
36,The Treehouse by Superchulo,"C Gran Vía, 55,Madrid,Spain,28013",40.42155,-3.708629,1.0,5.0,"['Western', 'Mediterranean', 'Spanish']",5,2,+34-911087670,1,0,1,"{'Monday': '09:00 - 20:00', 'Tuesday': '09:00 - 20:00', 'Wednesday': '09:00 - 20:00', 'Thursday': '09:00 - 20:00', 'Friday': '09:00 - 20:00', 'Saturday': '09:00 - 20:00', 'Sunday': '09:00 - 20:00'}",https://www.happycow.net/reviews/the-treehouse-by-superchulo-madrid-402145,77.0,7.0,11.0,2,1,0.31418069366516677
37,Grosso Napoletano - Malasaña,"11 Calle del Pez,Madrid,Spain,28004",40.423372,-3.7051,3.0,3.5,['Italian'],19,2,+34-910053691,1,1,1,"{'Monday': '13:00 - 23:00', 'Tuesday': '13:00 - 23:00', 'Wednesday': '13:00 - 23:00', 'Thursday': '13:00 - 23:00', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 23:30'}",https://www.happycow.net/reviews/grosso-napoletano-madrid-306836,72.5,7.0,10.36,3,1,0.3048504712701146
38,Zenith Brunch & Cocktails,"Calle de Valverde, 28,Madrid,Spain,28004",40.422366,-3.701621,22.0,3.5,"['European', 'Fusion']",49,2,+34-912124299,1,0,1,"{'Monday': '09:00 - 18:00', 'Tuesday': '09:00 - 18:00', 'Wednesday': '09:00 - 18:00', 'Thursday': '09:00 - 18:00', 'Friday': '09:00 - 18:00', 'Saturday': '09:00 - 18:00', 'Sunday': '09:00 - 18:00'}",https://www.happycow.net/reviews/zenith-brunch-cocktails-madrid-266834,63.0,7.0,9.0,2,1,0.2555576542043961
39,Lamucca de Pez,"Pl. de Carlos Cambronero 4,Madrid,Spain,28004",40.423332,-3.703871,2.0,3.0,"['American', 'International', 'Mediterranean', 'Spanish']",2,2,+34-915210000,1,0,1,"{'Monday': '13:00 - 01:30', 'Tuesday': '13:00 - 01:30', 'Wednesday': '13:00 - 01:30', 'Thursday': '13:00 - 02:00', 'Friday': '13:00 - 02:30', 'Saturday': '10:00 - 02:30', 'Sunday': '10:00 - 01:30'}",https://www.happycow.net/reviews/lamucca-de-pez-madrid-298291,96.0,7.0,13.71,2,1,0.13881636205395997
40,Viena Capellanes,"C de Bordadores, 9,Madrid,Spain,28013",40.416965,-3.707394,0.0,0.0,"['International', 'Spanish']",21,1,+34-915595397,1,1,1,"{'Monday': '08:00 - 21:00', 'Tuesday': '08:00 - 21:00', 'Wednesday': '08:00 - 21:00', 'Thursday': '08:00 - 21:00', 'Friday': '08:00 - 21:30', 'Saturday': '09:00 - 21:30', 'Sunday': '09:00 - 21:30'}",https://www.happycow.net/reviews/viena-capellanes-madrid-287976,90.5,7.0,12.93,3,1,0.5509553172971873
41,Sanissimo - Opera,"Calle Campomanes 5,Madrid,Spain,28013",40.419001,-3.709383,175.0,4.5,"['Western', 'Spanish']",212,2,+34-911152546,1,1,1,"{'Monday': '13:00 - 23:30', 'Tuesday': '13:00 - 23:30', 'Wednesday': '13:00 - 23:30', 'Thursday': '13:00 - 23:30', 'Friday': '13:00 - 00:00', 'Saturday': '12:00 - 00:00', 'Sunday': '12:00 - 23:30'}",https://www.happycow.net/reviews/sanissimo-opera-madrid-73747,76.5,7.0,10.93,3,1,0.32264763068718405
42,La Huerta de Almeria - Malasaña,"Calle Corredera Baja de San Pablo 47,Madrid,Spain",40.423231,-3.702921,46.0,4.0,['International'],90,1,+34-912799254,1,0,1,"{'Monday': '09:00 - 00:00', 'Tuesday': '09:00 - 00:00', 'Wednesday': '09:00 - 00:00', 'Thursday': '09:00 - 00:00', 'Friday': '09:00 - 00:00', 'Saturday': '09:00 - 00:00', 'Sunday': '09:00 - 00:00'}",https://www.happycow.net/reviews/la-huerta-de-almeria-madrid-81172,105.0,7.0,15.0,2,1,0.24980612188211765
43,Tierra Burrito Bar - Opera,"Plaza de Isabel II, 5,Madrid,Spain,28013",40.418584,-3.709382,6.0,3.5,"['American', 'Mexican']",18,1,+34-912220476,1,0,1,"{'Monday': '12:00 - 00:30', 'Tuesday': '12:00 - 00:30', 'Wednesday': '12:00 - 00:30', 'Thursday': '12:00 - 00:30', 'Friday': '12:00 - 00:30', 'Saturday': '12:00 - 00:30', 'Sunday': '12:00 - 00:30'}",https://www.happycow.net/reviews/tierra-burrito-bar-madrid-222943,87.5,7.0,12.5,2,1,0.24575412477084607
44,Fresc Co,"Calle de las Fuentes 12,Madrid,Spain",40.41749,-3.708548,4.0,3.5,"['Western', 'European', 'Spanish']",9,2,No phone number,1,0,0,"{'Monday': '12:00 - 23:30', 'Tuesday': '12:00 - 23:30', 'Wednesday': '12:00 - 23:30', 'Thursday': '12:00 - 23:30', 'Friday': '12:00 - 23:30', 'Saturday': '12:00 - 23:30', 'Sunday': '12:00 - 23:30'}",https://www.happycow.net/reviews/fresc-co-madrid-74989,80.5,7.0,11.5,1,1,0.2033364813065941
45,The Cookie Lab,"Calle del Pez, 16,Madrid,Spain,28004",40.423665,-3.705132,3.0,2.5,['American'],3,0,+34-910850640,1,1,1,"{'Monday': '15:00 - 21:00', 'Tuesday': '09:30 - 21:00', 'Wednesday': '09:30 - 21:00', 'Thursday': '09:30 - 21:00', 'Friday': '09:30 - 21:00', 'Saturday': '10:00 - 21:30', 'Sunday': '10:30 - 21:00'}",https://www.happycow.net/reviews/the-cookie-lab-madrid-315428,74.0,7.0,10.57,3,1,0.33843601281410296
46,Ramen Shifu - Chueca,"Infantas 14 (at Plaza Pedro Zerolo),Madrid,Spain,28004",40.420759,-3.700001,8.0,4.0,"['Japanese', 'Asian']",19,2,+34-919202729,1,1,1,"{'Monday': '13:00 - 16:00, 20:00 - 23:00', 'Tuesday': '13:00 - 16:00, 20:00 - 23:00', 'Wednesday': '13:00 - 16:00, 20:00 - 23:00', 'Thursday': '13:00 - 16:00, 20:00 - 23:00', 'Friday': '13:00 - 16:00, 20:00 - 23:00', 'Saturday': '13:00 - 16:00, 20:00 - 23:00', 'Sunday': '13:00 - 16:00, 20:00 - 23:00'}",https://www.happycow.net/reviews/ramen-shifu-madrid-223352,42.0,7.0,6.0,3,1,0.3362794659555951
47,Ramen Shifu  - Plaza España,"C de Isabel la Católica, 15,Madrid,Spain,28013",40.421566,-3.709382,7.0,4.0,"['Japanese', 'Asian']",14,2,+34-911448402,1,1,1,"{'Monday': 'Closed', 'Tuesday': '13:00 - 16:30, 20:00 - 23:30', 'Wednesday': '13:00 - 16:30, 20:00 - 23:30', 'Thursday': '13:00 - 16:30, 20:00 - 23:30', 'Friday': '13:00 - 16:30, 20:00 - 00:00', 'Saturday': '13:00 - 16:30, 20:00 - 00:00', 'Sunday': '13:00 - 16:30, 20:00 - 00:00'}",https://www.happycow.net/reviews/ramen-shifu-madrid-259110,43.5,6.0,6.21,3,1,0.19837823824602338
48,La Rollerie - Mayor,"Calle Mayor 24,Madrid,Spain",40.416447,-3.707221,11.0,3.0,['Spanish'],9,1,+34-917569271,1,0,0,"{'Monday': '18:00 - 02:00', 'Tuesday': '18:00 - 02:00', 'Wednesday': '18:00 - 02:00', 'Thursday': '18:00 - 02:00', 'Friday': '18:00 - 02:00', 'Saturday': '18:00 - 02:00', 'Sunday': '18:00 - 02:00'}",https://www.happycow.net/reviews/la-rollerie-madrid-86547,56.0,7.0,8.0,1,1,0.1
49,Taquería Mi Ciudad,"Calle de las Hileras 5,Madrid,Spain,28013",40.416958,-3.708387,0.0,0.0,['Mexican'],0,1,+34-915598711,1,1,0,"{'Monday': '13:30 - 16:30, 20:00 - 00:30', 'Tuesday': '13:30 - 16:30, 20:00 - 00:30', 'Wednesday': '13:30 - 16:30, 20:00 - 00:00', 'Thursday': '13:30 - 16:30, 20:00 - 00:30', 'Friday': '13:30 - 16:30, 20:00 - 00:30', 'Saturday': '13:30 - 16:30, 20:00 - 00:30', 'Sunday': '13:30 - 16:30, 20:00 - 00:00'}",https://www.happycow.net/reviews/taqueria-mi-ciudad-madrid-415118,51.5,7.0,7.36,2,1,0.3119626687406255
