id,Name,Address,Lat,Long,Number of Ratings,Restaurant Rating,Type of Restaurant,Number of Bookmarks,Price Range,Phone Number,Website,Instagram,Facebook,Timetable,url
518,Gelateria La Romana,"Calle de Diego de León, 11, Madrid, Spain, 28006",40.435178,-3.684101,2,3.5,[],1,No price range,+34-913437860,https://www.gelateriaromana.com/,http://www.instagram.com/gelaterialaromana,http://facebook.com/GelateriaLaRomana,"{'Monday': '12:00 - 00:00', 'Tuesday': '12:00 - 00:00', 'Wednesday': '12:00 - 00:00', 'Thursday': '12:00 - 00:00', 'Friday': '12:00 - 00:00', 'Saturday': '12:00 - 00:00', 'Sunday': '12:00 - 00:00'}",https://www.happycow.net/reviews/gelateria-la-romana-madrid-355839
519,Aloha Poke - Av Felipe,"Avenida Felipe II, 8, Madrid, Spain, 28009",40.423836,-3.676510,2,1.0,['Asian'],2,Barato,+34-912791251,http://www.alohapoke.es/,http://www.instagram.com/alohapokespain,http://facebook.com/AlohaPokeSpain,"{'Monday': '11:30 - 23:30', 'Tuesday': '11:30 - 23:30', 'Wednesday': '11:30 - 23:30', 'Thursday': '11:30 - 23:30', 'Friday': '11:30 - 23:30', 'Saturday': '11:30 - 23:30', 'Sunday': '11:30 - 23:30'}",https://www.happycow.net/reviews/aloha-poke-madrid-180302
520,Pinsa Pizza,"Calle de María de Molina, 10, Madrid, Spain, 28006",40.437693,-3.687819,2,4.0,['Italian'],0,Moderado,+34-915946723,http://pinsapizza.es/,http://www.instagram.com/pinsapizzaes,http://facebook.com/pinsapizzamadrid,"{'Monday': '13:00 - 16:00, 20:00 - 23:30', 'Tuesday': '13:00 - 16:00, 20:00 - 23:30', 'Wednesday': '13:00 - 16:00, 20:00 - 23:30', 'Thursday': '13:00 - 16:00, 20:00 - 23:30', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 00:00'}",https://www.happycow.net/reviews/pinsa-pizza-madrid-336569
521,Lamucca de Serrano,"Calle de Serrano, 91, Madrid, Spain, 28006",40.437194,-3.686532,4,4.0,['Mediterranean'],6,Barato,+34-915210000,http://lamuccacompany.com/lamucca-serrano,No instagram,No facebook,"{'Monday': '10:00 - 01:00', 'Tuesday': '10:00 - 01:00', 'Wednesday': '10:00 - 01:00', 'Thursday': '10:00 - 01:00', 'Friday': '10:00 - 01:30', 'Saturday': '10:00 - 01:30', 'Sunday': '10:00 - 01:00'}",https://www.happycow.net/reviews/lamucca-de-serrano-madrid-317068
522,Aloha Poke - Serrano,"Calle de María de Molina, 16, Madrid, Spain, 28006",40.437685,-3.687138,,3.0,['Asian'],3,Moderado,+34-917619005,http://alohapoke.es/,http://www.instagram.com/alohapokespain,http://facebook.com/AlohaPokeSpain,"{'Monday': '12:00 - 21:00', 'Tuesday': '12:00 - 21:00', 'Wednesday': '12:00 - 21:00', 'Thursday': '12:00 - 21:00', 'Friday': '12:00 - 21:00', 'Saturday': '12:00 - 17:00, 20:30 - 21:00', 'Sunday': '12:00 - 17:00, 20:30 - 21:00'}",https://www.happycow.net/reviews/aloha-poke-madrid-228381
523,The Bear and the Madroño,"C. del Doce de Octubre, 16, Madrid, Spain, 28009",40.415629,-3.676031,1,5.0,['European'],1,No price range,+34-915739258,https://www.osocafeshop.com/,http://www.instagram.com/oso.cafe.tienda,No facebook,"{'Monday': '07:30 - 22:30', 'Tuesday': '07:30 - 22:30', 'Wednesday': '07:30 - 22:30', 'Thursday': '07:30 - 22:30', 'Friday': '07:30 - 23:00', 'Saturday': '09:00 - 23:00', 'Sunday': '09:00 - 22:00'}",https://www.happycow.net/reviews/the-bear-and-the-madrono-madrid-414884
524,Un Arabigo,"5 Av de la Ciudad de Barcelona, Madrid, Spain, 28007",40.405101,-3.682755,3,3.5,"['Mediterranean', 'Middle Eastern']",5,Moderado,+34-919122779,https://www.unarabigoenmadrid.com/,No instagram,No facebook,"{'Monday': '19:30 - 23:00', 'Tuesday': '12:00 - 17:00, 19:30 - 23:00', 'Wednesday': '12:00 - 17:00, 19:30 - 23:00', 'Thursday': '12:00 - 17:00, 19:30 - 23:00', 'Friday': '12:00 - 17:00, 19:30 - 23:00', 'Saturday': '12:30 - 23:00', 'Sunday': '12:30 - 23:00'}",https://www.happycow.net/reviews/un-arabigo-madrid-260391
525,Nucha Coffee Art,"Calle de Don Ramón de la Cruz, 50, Salamanca, Madrid, Spain, 28001",40.428771,-3.677710,1,5.0,"['Western', 'Spanish']",0,No price range,No phone number,https://somosnucha.es/,http://www.instagram.com/somosnucha,No facebook,"{'Monday': '10:00 - 18:00', 'Tuesday': '10:00 - 18:00', 'Wednesday': '10:00 - 18:00', 'Thursday': '10:00 - 18:00', 'Friday': '10:00 - 18:00', 'Saturday': '10:00 - 18:00', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/nucha-coffee-art-comunidad-de-madrid-419970
526,Cherry Pecas,"Paseo de San Francisco de Sales, 17, Madrid, Spain, 28003",40.441068,-3.715389,1,2.0,['Mexican'],5,Barato,+34-645762200,http://cherrypecas.com/,No instagram,No facebook,"{'Monday': '12:00 - 00:30', 'Tuesday': '12:00 - 00:30', 'Wednesday': '12:00 - 00:30', 'Thursday': '12:00 - 01:30', 'Friday': '12:00 - 01:30', 'Saturday': '12:00 - 01:30', 'Sunday': '12:00 - 00:30'}",https://www.happycow.net/reviews/cherry-pecas-madrid-136229
527,The Garden Brunch Café ,"C de Hermosilla, 91, Madrid, Spain, 28001",40.426083,-3.676319,1,4.0,['European'],2,Moderado,+34-915561743,https://www.thegardenbrunch.com/,http://www.instagram.com/thegardenbrunchcafe,No facebook,"{'Monday': '09:30 - 18:00', 'Tuesday': '09:30 - 18:00', 'Wednesday': 'Closed', 'Thursday': '09:30 - 18:00', 'Friday': '09:30 - 18:00', 'Saturday': '09:30 - 18:00', 'Sunday': '09:30 - 18:00'}",https://www.happycow.net/reviews/the-garden-brunch-cafe-madrid-406568
528,Ramen Shifu,"Cl de Ayala, 65, Madrid, Spain, 28001",40.427512,-3.676813,7,4.0,"['Japanese', 'Asian']",24,Moderado,+34-914017730,http://ramenshifu.com/,http://www.instagram.com/ramenshifu,http://facebook.com/RamenShifu,"{'Monday': 'Closed', 'Tuesday': '13:00 - 16:00, 20:00 - 23:30', 'Wednesday': '13:00 - 16:00, 20:00 - 23:30', 'Thursday': '13:00 - 16:00, 20:00 - 23:30', 'Friday': '13:00 - 16:00, 20:00 - 00:00', 'Saturday': '13:00 - 16:00, 20:00 - 00:00', 'Sunday': '13:00 - 16:00, 20:00 - 23:30'}",https://www.happycow.net/reviews/ramen-shifu-madrid-246121
529,Utøpico,"Calle de Juan Bravo, 27, Salamanca, Madrid, Spain, 28006",40.432850,-3.680042,1,5.0,[],0,No price range,No phone number,http://utopico.coffee/,http://www.instagram.com/utopicocafe,http://facebook.com/100083218070193,"{'Monday': '08:00 - 19:00', 'Tuesday': '08:00 - 19:00', 'Wednesday': '08:00 - 19:00', 'Thursday': '08:00 - 19:00', 'Friday': '08:00 - 19:00', 'Saturday': '09:00 - 19:00', 'Sunday': '09:00 - 19:00'}",https://www.happycow.net/reviews/utoepico-madrid-408552
530,EcoCentro,"C/ de Esquilache 4, Madrid, Spain, 28003",40.442980,-3.705120,38,4.0,"['International', 'Spanish']",49,Moderado,+34-915535502,http://ecocentro.es/,No instagram,http://facebook.com/ecocentro,"{'Monday': '10:00 - 21:00', 'Tuesday': '10:00 - 21:00', 'Wednesday': '10:00 - 21:00', 'Thursday': '10:00 - 21:00', 'Friday': '10:00 - 21:00', 'Saturday': '10:00 - 21:00', 'Sunday': '10:00 - 21:00'}",https://www.happycow.net/reviews/ecocentro-madrid-1133
531,La Magdalena De Proust,"Calle Regueros, 8, Calle de Bravo Murillo, 54 (at Bravo Murillo), Madrid, Spain, 28004",40.443001,-3.703850,5,3.5,"['International', 'Mediterranean']",9,Barato,+34-914673311,http://www.lamagdalenadeproust.com/,No instagram,http://facebook.com/lamagdalenaproust,"{'Monday': '10:00 - 21:00', 'Tuesday': '10:00 - 21:00', 'Wednesday': '10:00 - 21:00', 'Thursday': '10:00 - 21:00', 'Friday': '10:00 - 21:00', 'Saturday': '10:00 - 21:00', 'Sunday': '10:00 - 21:00'}",https://www.happycow.net/reviews/la-magdalena-de-proust-madrid-177874
532,Café Brunch Saudade,"C. del Duque de Sesto, 31, Madrid, Spain, 28009",40.422671,-3.674841,1,3.0,"['International', 'Mediterranean', 'Spanish']",0,Moderado,+34-644709868,https://smartmenu.agorapos.com/?id=3rt746ea#/,http://www.instagram.com/cafebrunchsaudade,No facebook,"{'Monday': '09:00 - 22:00', 'Tuesday': '09:00 - 22:00', 'Wednesday': '09:00 - 22:00', 'Thursday': '09:00 - 22:00', 'Friday': '09:00 - 22:00', 'Saturday': '09:00 - 22:00', 'Sunday': '09:00 - 21:00'}",https://www.happycow.net/reviews/cafe-brunch-saudade-madrid-412903
533,Religion Coffee,"Calle Maria de Molina 24,Madrid,Spain",40.437566,-3.685045,18,4.0,"['European', 'Spanish']",34,Barato,+34-910698221,http://www.religioncoffee.es/,No instagram,http://facebook.com/religioncoffee,"{'Monday': '08:00 - 20:00', 'Tuesday': '08:00 - 20:00', 'Wednesday': '08:00 - 20:00', 'Thursday': '08:00 - 20:00', 'Friday': '08:00 - 20:00', 'Saturday': '09:00 - 18:00', 'Sunday': '09:00 - 18:00'}",https://www.happycow.net/reviews/religion-coffee-madrid-122266
534,Makan ,"C. de Velázquez, 118, Madrid, Spain, 28006",40.436324,-3.682976,1,4.0,['Middle Eastern'],0,Barato,+34-914676082,http://www.makansaj.com/,http://www.instagram.com/makan.saj,http://facebook.com/makan.saj,"{'Monday': '10:00 - 23:00', 'Tuesday': '10:00 - 23:00', 'Wednesday': '10:00 - 23:00', 'Thursday': '10:00 - 23:00', 'Friday': '10:00 - 23:00', 'Saturday': 'Closed', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/makan-madrid-408700
535,Shlen,"C. del Duque de Sesto, 46 (at Behind Wiznik Centre), Madrid, Spain, 28009",40.422329,-3.674052,37,5.0,"['International', 'Asian', 'Fusion']",42,Barato,+34-623979138,No website,http://www.instagram.com/shlenfood,No facebook,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '12:30 - 16:00, 19:30 - 23:00', 'Thursday': '12:30 - 16:00, 19:30 - 23:00', 'Friday': '12:30 - 16:00, 19:30 - 23:00', 'Saturday': '12:30 - 16:00, 19:30 - 23:00', 'Sunday': '12:30 - 16:00'}",https://www.happycow.net/reviews/shlen-madrid-392058
536,Vanille,"Calle de Sta Engracia, 143, Madrid, Spain, 28003",40.443694,-3.702860,1,4.0,['European'],1,No price range,+34-914455613,https://www.vanille.es/,http://www.instagram.com/vanillebakerylab,No facebook,"{'Monday': '08:00 - 21:00', 'Tuesday': '08:00 - 21:00', 'Wednesday': '08:00 - 21:00', 'Thursday': '08:00 - 21:00', 'Friday': '08:00 - 21:00', 'Saturday': '08:00 - 19:00', 'Sunday': '08:00 - 15:00'}",https://www.happycow.net/reviews/vanille-madrid-421580
537,FUDI&Co - Felipe II,"Av de Felipe II, 13, Madrid, Spain, 28009",40.424302,-3.674062,1,4.0,[],1,No price range,+34-630431869,https://fudiandco.com/,http://www.instagram.com/fudiandco,http://facebook.com/fudiandco/,"{'Monday': '08:00 - 20:00', 'Tuesday': '08:00 - 20:00', 'Wednesday': '08:00 - 20:00', 'Thursday': '08:00 - 20:00', 'Friday': '08:00 - 20:00', 'Saturday': '09:00 - 20:00', 'Sunday': '10:00 - 18:00'}",https://www.happycow.net/reviews/fudi-and-co-madrid-409113
538,NAGÚ Restaurante,"C/ de Fernán González, 2, Madrid, Spain, 28009",40.425086,-3.674252,1,4.0,['Spanish'],0,Moderado,+34-674288454,https://restaurantenagu.es/,http://www.instagram.com/restaurante.nagu,http://facebook.com/restaurantenagu,"{'Monday': '08:00 - 16:30', 'Tuesday': '08:00 - 00:00', 'Wednesday': '08:00 - 00:00', 'Thursday': '08:00 - 00:00', 'Friday': '08:00 - 00:00', 'Saturday': '12:30 - 00:00', 'Sunday': '12:30 - 16:30'}",https://www.happycow.net/reviews/nagu-restaurante-madrid-419927
539,Yue Lai,"99 Hermosilla 101, Madrid, Spain, 28006",40.425938,-3.674505,2,2.5,"['Chinese', 'Asian']",2,Moderado,+34-915757154,No website,http://www.instagram.com/yuelai_1998,No facebook,"{'Monday': '12:30 - 16:30, 19:30 - 00:00', 'Tuesday': 'Closed', 'Wednesday': '12:30 - 16:30, 19:30 - 00:00', 'Thursday': '12:30 - 16:30, 19:30 - 00:00', 'Friday': '12:30 - 16:30, 19:30 - 00:00', 'Saturday': '12:30 - 16:30, 19:30 - 00:00', 'Sunday': '12:30 - 16:30, 19:30 - 00:00'}",https://www.happycow.net/reviews/yue-lai-madrid-349393
540,Honest Greens - Velázquez,"C de Velázquez, 123, Madrid, Spain, 28006",40.437457,-3.683460,13,4.0,"['International', 'European']",13,Moderado,+34-931227664,https://honestgreens.com/,http://www.instagram.com/honestgreens,http://facebook.com/honestgreens.spain,"{'Monday': '08:30 - 23:00', 'Tuesday': '08:30 - 23:00', 'Wednesday': '08:30 - 23:00', 'Thursday': '08:30 - 23:00', 'Friday': '08:30 - 23:00', 'Saturday': '09:30 - 23:00', 'Sunday': '09:30 - 23:00'}",https://www.happycow.net/reviews/honest-greens-madrid-269816
541,Empanadillas Los Tres Cerditos,"Paseo de las Delicias, 73, Madrid, Spain, 28045",40.397345,-3.694159,1,4.0,['Chinese'],1,Barato,+34-911963238,https://empanadillaslostrescerditos.business.site/,No instagram,No facebook,"{'Monday': '19:00 - 23:30', 'Tuesday': '12:00 - 16:30, 19:30 - 23:30', 'Wednesday': '12:00 - 16:30, 19:30 - 23:30', 'Thursday': '12:00 - 16:30, 19:30 - 23:30', 'Friday': '12:00 - 16:30, 19:30 - 23:30', 'Saturday': '12:00 - 16:30, 19:30 - 23:30', 'Sunday': '12:00 - 16:30, 19:30 - 23:30'}",https://www.happycow.net/reviews/empanadillas-los-tres-cerditos-madrid-376377
542,Pizzería Carlos - Retiro,"C. Roncesvalles, 5, Retiro, Madrid, Spain, 28007",40.408152,-3.677365,0,0,"['Italian', 'European']",0,Moderado,+34-919992220,https://www.pizzeriascarlos.es/,http://www.instagram.com/pizzeriascarlos,http://facebook.com/pizzeriascarlosoficial,"{'Monday': '13:00 - 16:00, 19:30 - 00:00', 'Tuesday': '13:00 - 16:00, 19:30 - 00:00', 'Wednesday': '13:00 - 16:00, 19:30 - 00:00', 'Thursday': '13:00 - 16:00, 19:30 - 00:00', 'Friday': '13:00 - 17:00, 19:30 - 01:00', 'Saturday': '13:00 - 17:00, 19:30 - 01:00', 'Sunday': '13:00 - 17:00, 19:30 - 00:00'}",https://www.happycow.net/reviews/pizzeria-carlos-madrid-421599
543,Dot Café Bar,"Calle de Eugenio Sellés, 6, Madrid, Spain, 28045",40.395958,-3.698778,5,4.0,"['Western', 'European', 'Spanish']",6,No price range,+34-912121513,No website,http://www.instagram.com/dotcafebar,http://facebook.com/Dot-Caf%C3%A9-Bar-2315733205409609,"{'Monday': '08:00 - 18:00', 'Tuesday': 'Closed', 'Wednesday': '08:00 - 20:00', 'Thursday': '08:00 - 22:00', 'Friday': '08:00 - 20:00', 'Saturday': '09:00 - 20:00', 'Sunday': '09:00 - 20:00'}",https://www.happycow.net/reviews/dot-cafe-bar-madrid-264807
544,Kprichos Argentinos - Hermosilla,"Calle de Alcántara, 9, Madrid, Spain, 28001",40.426614,-3.674142,6,4.0,['Latin'],16,Barato,+34-915760239,http://kprichosargentinos.com/,No instagram,http://facebook.com/kprichos.argentinos,"{'Monday': '10:00 - 23:30', 'Tuesday': '10:00 - 23:30', 'Wednesday': '10:00 - 23:30', 'Thursday': '10:00 - 23:30', 'Friday': '10:00 - 02:00', 'Saturday': '10:00 - 02:00', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/kprichos-argentinos-madrid-113441
545,Casajari ,"C. de Jaime el Conquistador, 21, Madrid, Spain, 28045",40.396043,-3.698005,1,4.0,[],0,Barato,+34-722212190,https://casajarimadrid.wixsite.com/casajari-1,No instagram,No facebook,"{'Monday': 'Closed', 'Tuesday': '18:00 - 00:00', 'Wednesday': '18:00 - 00:00', 'Thursday': '18:00 - 00:00', 'Friday': '18:00 - 02:00', 'Saturday': '12:00 - 02:00', 'Sunday': '12:00 - 20:00'}",https://www.happycow.net/reviews/casajari-madrid-343109
546,Running Sushi,"C de Hermosilla, 103, Madrid, Spain, 28006",40.426020,-3.673840,4,4.0,"['Japanese', 'Asian']",14,Moderado,+34-910666893,https://runningsushi.es/,http://www.instagram.com/runningsushi_restaurante,http://facebook.com/runningsushirestaurante,"{'Monday': '13:00 - 00:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 00:00', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 00:00'}",https://www.happycow.net/reviews/running-sushi-madrid-276590
547,Café Anayad,"C. de Granada, 11, Madrid, Spain, 28007",40.405089,-3.679319,3,4.5,['Spanish'],1,No price range,+34-644938674,http://www.cafearmonia.es/,No instagram,No facebook,"{'Monday': '08:00 - 13:30, 16:00 - 20:00', 'Tuesday': '08:00 - 13:30, 16:00 - 20:00', 'Wednesday': '08:00 - 13:30, 16:00 - 20:00', 'Thursday': '08:00 - 13:30, 16:00 - 20:00', 'Friday': '08:00 - 13:30, 16:00 - 20:00', 'Saturday': '09:00 - 13:30, 16:00 - 20:00', 'Sunday': '09:00 - 13:30, 16:00 - 20:00'}",https://www.happycow.net/reviews/cafe-anayad-madrid-325264
548,Mezcal,"35 C de Narciso Serra, Madrid, Spain, 28007",40.406547,-3.677873,1,4.0,['Mexican'],5,Moderado,+34-911805562,https://www.restaurantemezcal.org/,http://www.instagram.com/restaurante_mezca,http://facebook.com/restaurantemezcal,"{'Monday': '13:00 - 16:30, 20:00 - 00:00', 'Tuesday': '13:00 - 16:30, 20:00 - 00:00', 'Wednesday': '13:00 - 16:30, 20:00 - 00:00', 'Thursday': '13:00 - 16:30, 20:00 - 00:00', 'Friday': '13:00 - 16:30, 20:00 - 00:00', 'Saturday': '13:00 - 16:30, 20:00 - 00:00', 'Sunday': '13:00 - 16:30, 20:00 - 00:00'}",https://www.happycow.net/reviews/mezcal-madrid-275890
549,Tábatha,"C. de Alcántara, 23, Madrid, Spain, 28006",40.427887,-3.673980,0,0,[],0,No price range,+34-913569126,https://www.tabathapasteleria.com/,http://www.instagram.com/tabathapasteleria,http://facebook.com/tabathapasteleria/,"{'Monday': '10:00 - 14:00, 16:30 - 20:30', 'Tuesday': '10:00 - 14:00, 16:30 - 20:30', 'Wednesday': '10:00 - 14:00, 16:30 - 20:30', 'Thursday': '10:00 - 14:00, 16:30 - 20:30', 'Friday': '10:00 - 14:00, 16:30 - 20:30', 'Saturday': '10:00 - 14:00, 16:30 - 20:30', 'Sunday': '10:00 - 14:00'}",https://www.happycow.net/reviews/tabatha-madrid-409691
550,Ramen Kagura - Avenida de América,"Calle del Gral Oraá, 49, Madrid, Spain, 28006",40.436177,-3.679973,3,4.0,"['Japanese', 'Asian']",8,Moderado,+34-912357191,https://www.ramenkagura.com/es/america,No instagram,No facebook,"{'Monday': '13:00 - 16:00, 20:30 - 23:30', 'Tuesday': '13:00 - 16:00, 20:30 - 23:30', 'Wednesday': '13:00 - 16:00, 20:30 - 23:30', 'Thursday': '13:00 - 16:00, 20:30 - 23:30', 'Friday': '13:00 - 16:00, 20:30 - 23:30', 'Saturday': '13:00 - 16:00, 20:30 - 23:30', 'Sunday': '13:00 - 16:00, 20:30 - 23:30'}",https://www.happycow.net/reviews/ramen-kagura-madrid-323900
551,El Invernadero de Rodrigo de la Calle,"Calle de Ponzano, 85, Madrid, Spain, 28003",40.444550,-3.698944,11,4.0,"['International', 'European', 'Fusion']",16,Caro,+34-663283363,https://elinvernaderorestaurante.com/,No instagram,http://facebook.com/El-Invernadero-Rodrigo-de-la-Calle-197588424381554,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': 'Closed', 'Thursday': '13:30 - 15:00, 21:00 - 22:30', 'Friday': 'Closed', 'Saturday': '13:30 - 15:00, 21:00 - 22:30', 'Sunday': '13:30 - 15:00, 21:00 - 22:30'}",https://www.happycow.net/reviews/el-invernadero-de-rodrigo-de-la-calle-madrid-109285
552,Nolita,"C. del Conde de Peñalver, 64, Madrid, Spain, 28006",40.431318,-3.674972,1,3.0,[],0,No price range,+34-915488719,https://nolitacoffee.es/,http://www.instagram.com/nolitacoffeebrunch,No facebook,"{'Monday': '09:00 - 19:00', 'Tuesday': '09:00 - 19:00', 'Wednesday': '09:00 - 19:00', 'Thursday': '09:00 - 19:00', 'Friday': '09:00 - 19:00', 'Saturday': '10:00 - 19:00', 'Sunday': '10:00 - 19:00'}",https://www.happycow.net/reviews/nolita-madrid-421094
553,Bell's Cookie Co Madrid,"C del Conde de Peñalver, 66, Madrid, Spain, 28006",40.431411,-3.674862,2,3.0,[],0,No price range,+34-914252651,https://bellscookieco.es/,http://www.instagram.com/bellscookies.es,No facebook,"{'Monday': '10:30 - 00:30', 'Tuesday': '10:30 - 00:30', 'Wednesday': '10:30 - 00:30', 'Thursday': '10:30 - 00:30', 'Friday': '10:30 - 00:30', 'Saturday': '10:30 - 00:30', 'Sunday': '11:00 - 02:30'}",https://www.happycow.net/reviews/bells-cookie-co-madrid-409073
554,Doble Uve Obrador,"C. de Antonio Arias, 5, Madrid, Spain, 28009",40.417557,-3.671392,1,4.0,['European'],0,No price range,+34-645550792,http://www.dobleuveobrador.com/,http://www.instagram.com/dobleuveobrador,No facebook,"{'Monday': 'Closed', 'Tuesday': '09:00 - 20:00', 'Wednesday': '09:00 - 20:00', 'Thursday': '09:00 - 20:00', 'Friday': '09:00 - 20:00', 'Saturday': '09:00 - 15:00', 'Sunday': '09:00 - 15:00'}",https://www.happycow.net/reviews/doble-uve-obrador-madrid-414874
