id,Name,Address,Lat,Long,Number of Ratings,Restaurant Rating,Type of Restaurant,Number of Bookmarks,Price Range,Phone Number,Website,Instagram,Facebook,Timetable,url
11,Kiraku,"Calle de Miguel Moya 6,Madrid,Spain,28004",40.420860,-3.705487,0,0,"['Japanese', 'Asian']",0,Moderado,+34-915227574,https://kirakuberkeley.com/,http://www.instagram.com/kirakumadrid/?hl=es,No facebook,"{'Monday': 'Closed', 'Tuesday': '17:30 - 22:00', 'Wednesday': '17:30 - 22:00', 'Thursday': '17:30 - 22:00', 'Friday': '17:30 - 23:00', 'Saturday': '17:30 - 23:00', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/kiraku-madrid-405914
12,GEISHA ,"C. de las Navas de Tolosa, 6,Madrid,Spain,28013",40.419258,-3.706581,1,4.0,[],3,No price range,+34-614177950,No website,http://www.instagram.com/geishacoffeemadrid,No facebook,"{'Monday': '09:00 - 18:00', 'Tuesday': '09:00 - 18:00', 'Wednesday': '09:00 - 18:00', 'Thursday': '09:00 - 19:00', 'Friday': '09:00 - 20:00', 'Saturday': '09:00 - 20:00', 'Sunday': '09:00 - 20:00'}",https://www.happycow.net/reviews/geisha-madrid-408421
13,Xiongzai II,"Calle de la Salud, 8,Madrid,Spain,28013",40.419475,-3.702994,4,3.0,"['Chinese', 'Asian']",35,Moderado,+34-910749665,http://www.restaurantexiongzai.com/,No instagram,No facebook,"{'Monday': 'Closed', 'Tuesday': '12:30 - 17:00, 18:30 - 23:00', 'Wednesday': '12:30 - 17:00, 18:30 - 23:00', 'Thursday': '12:30 - 17:00, 18:30 - 23:00', 'Friday': '12:30 - 17:00, 18:30 - 23:00', 'Saturday': '12:30 - 17:00, 18:30 - 23:00', 'Sunday': '12:30 - 17:00, 18:30 - 23:00'}",https://www.happycow.net/reviews/xiongzai-ii-madrid-258675
14,Naked and Sated - Maestro Victoria,"C. del Maestro Victoria, 5,Madrid,Spain,28013",40.418445,-3.705356,9,3.0,"['International', 'Mediterranean', 'Fusion', 'Spanish']",35,Moderado,+34-914442277,https://nakedandsated.com/,No instagram,http://facebook.com/nakedandsated,"{'Monday': '13:00 - 00:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 00:00', 'Friday': '13:00 - 00:00', 'Saturday': '11:00 - 00:00', 'Sunday': '11:00 - 23:30'}",https://www.happycow.net/reviews/naked-and-sated-madrid-251540
15,Tropicalista GastroBar,"C. de la Ballesta, 2,Madrid,Spain,28004",40.421114,-3.703581,1,4.0,['Brazilian'],0,Moderado,+34-915233185,https://tropicalista.es/?utm_source=google-my-business,http://www.instagram.com/bartropicalista,http://facebook.com/bartropicalista,"{'Monday': '19:30 - 00:30', 'Tuesday': '19:30 - 00:30', 'Wednesday': '19:30 - 00:30', 'Thursday': '19:30 - 00:30', 'Friday': '13:30 - 17:30, 19:30 - 01:00', 'Saturday': '13:30 - 01:00', 'Sunday': '14:00 - 00:00'}",https://www.happycow.net/reviews/tropicalista-gastrobar-madrid-409065
16,AbonaVida,"Calle Navas de Tolosa 3,Madrid,Spain",40.419150,-3.706617,20,3.0,['Mediterranean'],44,Moderado,+34-915229860,http://www.abonavida.com/,No instagram,http://facebook.com/pages/ABONAVIDA/184581252308,"{'Monday': '09:00 - 02:00', 'Tuesday': '09:00 - 02:00', 'Wednesday': '09:00 - 02:00', 'Thursday': '09:00 - 02:00', 'Friday': '09:00 - 02:00', 'Saturday': '13:00 - 02:00', 'Sunday': '13:00 - 02:00'}",https://www.happycow.net/reviews/abonavida-madrid-58755
17,Lopez and Lopez - Malasana,"C de Loreto y Chicote, 3,Madrid,Spain,28004",40.421348,-3.703752,4,3.5,"['International', 'Italian']",11,Moderado,+34-910442022,https://www.lopezylopezpizzeria.es/,No instagram,http://facebook.com/LopezLopezPizzeria,"{'Monday': '20:00 - 00:30', 'Tuesday': '20:00 - 00:30', 'Wednesday': '13:30 - 17:00, 20:00 - 00:30', 'Thursday': '13:30 - 17:00, 20:00 - 00:30', 'Friday': '13:30 - 17:00, 20:00 - 01:30', 'Saturday': '13:30 - 17:00, 20:00 - 01:30', 'Sunday': '13:30 - 17:00, 20:00 - 00:30'}",https://www.happycow.net/reviews/lopez-and-lopez-madrid-265273
18,Artemisa Sol,"Calle Tres Cruces 4, Gran Via,Madrid,Spain,28013",40.419263,-3.702862,45,4.0,['Spanish'],72,Moderado,+34-915218721,http://restaurantevegetarianosolgranvia.com/,No instagram,http://facebook.com/ArtemisaGranVia,"{'Monday': '13:30 - 16:00, 20:00 - 23:00', 'Tuesday': '13:30 - 16:00', 'Wednesday': '13:30 - 16:00', 'Thursday': '13:30 - 16:00', 'Friday': '13:30 - 16:00, 20:00 - 23:00', 'Saturday': '13:30 - 16:00, 20:00 - 23:00', 'Sunday': '13:30 - 16:00, 20:00 - 23:00'}",https://www.happycow.net/reviews/artemisa-sol-madrid-34403
19,Lamucca del Carmen,"Plaza del Carmen, 5,Madrid,Spain,28013",40.418998,-3.702900,1,4.0,"['American', 'Mediterranean']",2,Moderado,+34-915210000,https://lamuccacompany.es/lamucca-del-carmen,http://www.instagram.com/lamucca,http://facebook.com/RestaurantesLamucca,"{'Monday': '10:00 - 01:30', 'Tuesday': '10:00 - 01:30', 'Wednesday': '10:00 - 01:30', 'Thursday': '10:00 - 02:00', 'Friday': '10:00 - 02:30', 'Saturday': '10:00 - 02:30', 'Sunday': '10:00 - 01:30'}",https://www.happycow.net/reviews/lamucca-del-carmen-madrid-376382
20,Pans & Company - Gran Vía,"Calle Gran Vía, 30,Madrid,Spain,28013",40.420227,-3.702465,7,3.5,"['Mediterranean', 'Spanish']",20,Barato,+34-915326510,http://www.pansandcompany.com/,http://www.instagram.com/pansandco,http://facebook.com/pansandcompany,"{'Monday': '10:00 - 23:00', 'Tuesday': '10:00 - 23:00', 'Wednesday': '10:00 - 23:00', 'Thursday': '10:00 - 23:00', 'Friday': '10:00 - 00:00', 'Saturday': '10:00 - 00:00', 'Sunday': '10:00 - 23:00'}",https://www.happycow.net/reviews/pans-and-company-madrid-190217
21,El Ideal Bar,"Calle Estrella, 3,Madrid,Spain,28004",40.421919,-3.706030,0,0,['Spanish'],6,Barato,+34-651829373,No website,http://www.instagram.com/el_ideal_bar,http://facebook.com/elidealbar/,"{'Monday': 'Closed', 'Tuesday': '19:00 - 02:00', 'Wednesday': '19:00 - 02:00', 'Thursday': '19:00 - 02:00', 'Friday': '19:00 - 02:30', 'Saturday': '19:00 - 02:30', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/el-ideal-bar-madrid-109777
22,Jardín Secreto,"37 Calle de la Montera,Madrid,Spain,28013",40.419075,-3.702206,1,1.0,"['European', 'Spanish']",18,Caro,+34-915311251,https://www.restaurantesalvadorbachiller.es/,No instagram,No facebook,"{'Monday': '11:00 - 00:00', 'Tuesday': '11:00 - 00:00', 'Wednesday': '11:00 - 00:00', 'Thursday': '11:00 - 01:00', 'Friday': '11:00 - 01:00', 'Saturday': '11:00 - 01:00', 'Sunday': '11:00 - 00:00'}",https://www.happycow.net/reviews/jardin-secreto-madrid-287468
23,B13 Bar,"Calle de la Ballesta 13,Madrid,Spain,28004",40.421924,-3.703419,302,4.5,"['Western', 'Spanish']",528,Barato,+34-911704435,No website,No instagram,No facebook,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '13:30 - 16:30, 20:00 - 23:00', 'Thursday': '13:30 - 16:30, 20:00 - 23:00', 'Friday': '13:30 - 16:30, 20:00 - 00:00', 'Saturday': '13:30 - 16:30, 20:00 - 00:00', 'Sunday': '13:30 - 16:30, 20:00 - 23:00'}",https://www.happycow.net/reviews/b13-bar-madrid-34434
24,Brunch Club ,"C. del Barco, 15,Madrid,Spain,28004",40.421600,-3.702822,1,4.0,['Western'],0,No price range,+34-910461934,http://www.brunchclubcafe.com/,http://www.instagram.com/brunchclubcafe,http://facebook.com/brunchclubcafe,"{'Monday': '09:30 - 16:30', 'Tuesday': '09:30 - 16:30', 'Wednesday': '09:30 - 16:30', 'Thursday': '09:30 - 16:30', 'Friday': '09:30 - 16:30', 'Saturday': '09:30 - 16:30', 'Sunday': '09:30 - 16:30'}",https://www.happycow.net/reviews/brunch-club-madrid-409688
25,Chila - 湘遇,"Calle de Silva, 4,Madrid,Spain,28013",40.420631,-3.707712,1,4.0,"['Chinese', 'Asian']",0,Moderado,+34-690252451,https://www.chilachila.com/en-gb,http://www.instagram.com/chila_xiangyu,No facebook,"{'Monday': '12:00 - 23:00', 'Tuesday': '12:00 - 23:00', 'Wednesday': '12:00 - 23:00', 'Thursday': '12:00 - 23:00', 'Friday': '12:00 - 23:00', 'Saturday': '12:00 - 23:00', 'Sunday': '12:00 - 23:00'}",https://www.happycow.net/reviews/chila-madrid-422020
26,Burnout - Valverde,"6 Calle de Valverde,Madrid,Spain,28004",40.420808,-3.702088,3,4.0,"['American', 'Western']",6,Moderado,+34-915991085,http://www.burnoutburgers.com/,No instagram,No facebook,"{'Monday': '13:00 - 16:30, 20:00 - 23:30', 'Tuesday': '13:00 - 16:30, 20:00 - 23:30', 'Wednesday': '13:00 - 16:30, 20:00 - 23:30', 'Thursday': '13:00 - 16:30', 'Friday': '13:00 - 17:00', 'Saturday': '13:00 - 17:00', 'Sunday': '13:00 - 17:00, 20:00 - 23:30'}",https://www.happycow.net/reviews/burnout-madrid-259614
27,Lemongrass,"36, Calle Montera,Madrid,Spain,28013",40.419182,-3.701816,13,3.5,"['Thai', 'Asian']",34,Barato,+34-915224738,http://www.lemongrass.es/,No instagram,http://facebook.com/lemongrassSpain,"{'Monday': '12:00 - 00:00', 'Tuesday': '12:00 - 00:00', 'Wednesday': '12:00 - 00:00', 'Thursday': '12:00 - 00:00', 'Friday': '12:00 - 00:00', 'Saturday': '12:00 - 00:00', 'Sunday': '12:00 - 00:00'}",https://www.happycow.net/reviews/lemongrass-madrid-60248
28,La Huerta Funky Castizo,"C de las Conchas, 8,Madrid,Spain,28013",40.418956,-3.708069,60,5.0,"['Italian', 'European', 'Fusion']",177,Moderado,+34-917003596,https://lahuertafunkycastizo.com/,http://www.instagram.com/lahuertafunkycastizo,http://facebook.com/lahuertafunkycastizo,"{'Monday': '17:00 - 02:00', 'Tuesday': '17:00 - 02:00', 'Wednesday': '12:00 - 02:00', 'Thursday': '12:00 - 02:00', 'Friday': '12:00 - 02:30', 'Saturday': '12:00 - 02:30', 'Sunday': '12:00 - 02:00'}",https://www.happycow.net/reviews/la-huerta-funky-castizo-madrid-356550
29,Amargo Place To Be,"2 Calle del Pez,Madrid,Spain,28004",40.422686,-3.703720,2,3.0,"['International', 'Western', 'Spanish']",20,Moderado,+34-910847990,https://amargoplacetobe.com/,No instagram,http://facebook.com/amargoplacetobe,"{'Monday': '10:00 - 23:00', 'Tuesday': '10:00 - 23:00', 'Wednesday': '10:00 - 23:00', 'Thursday': '10:00 - 23:00', 'Friday': '10:00 - 23:00', 'Saturday': '10:00 - 23:00', 'Sunday': '10:00 - 23:00'}",https://www.happycow.net/reviews/amargo-place-to-be-madrid-239392
30,Celicioso - Hortaleza,"Calle Hortaleza, 3,Madrid,Spain",40.420354,-3.701102,40,3.5,"['Mediterranean', 'European', 'Spanish']",32,No price range,+34-915318887,http://www.celicioso.es/,No instagram,http://facebook.com/Celicioso,"{'Monday': '09:00 - 21:30', 'Tuesday': '09:00 - 21:30', 'Wednesday': '09:00 - 21:30', 'Thursday': '09:00 - 21:30', 'Friday': '09:00 - 21:30', 'Saturday': '09:00 - 21:30', 'Sunday': '09:00 - 21:30'}",https://www.happycow.net/reviews/celicioso-madrid-68327
31,Casa Jaguar,"Calle de los Canos del Peral, 9,Madrid,Spain,28013",40.419105,-3.708648,3,4.0,"['Mexican', 'Latin']",12,Moderado,+34-910245712,No website,No instagram,No facebook,"{'Monday': 'Closed', 'Tuesday': '18:00 - 00:00', 'Wednesday': '13:00 - 17:00', 'Thursday': 'Closed', 'Friday': 'Closed', 'Saturday': 'Closed', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/casa-jaguar-madrid-91345
32,Wok to Walk - Hortaleza,"C/ Hortaleza, 7,Madrid,Spain,28004",40.420616,-3.700888,9,3.0,"['Chinese', 'Asian']",23,Barato,No phone number,http://woktowalk.com/spain/restaurants/europe/spain/madrid/7-calle-hortaleza-st,No instagram,http://facebook.com/woktowalkinternational,"{'Monday': '12:00 - 00:00', 'Tuesday': '12:00 - 00:00', 'Wednesday': '12:00 - 00:00', 'Thursday': '12:00 - 00:00', 'Friday': '12:00 - 02:00', 'Saturday': '12:00 - 02:00', 'Sunday': '12:00 - 00:00'}",https://www.happycow.net/reviews/wok-to-walk-madrid-57755
33,Dokdo Korea,"Calle de los Caños del Peral, 5,Madrid,Spain,28013",40.418861,-3.708807,6,3.0,"['Asian', 'Korean']",23,Moderado,+34-910446237,No website,No instagram,http://facebook.com/dokdokoreamad/,"{'Monday': '09:00 - 21:00', 'Tuesday': '09:00 - 21:00', 'Wednesday': '09:00 - 21:00', 'Thursday': '09:00 - 21:00', 'Friday': '09:00 - 21:00', 'Saturday': '09:00 - 21:00', 'Sunday': '09:00 - 21:00'}",https://www.happycow.net/reviews/dokdo-korea-madrid-211039
34,Wok to Walk - Calle Mayor,"Calle Mayor, 4,Madrid,Spain,28013",40.416717,-3.705068,7,3.5,"['Chinese', 'Asian']",24,Barato,No phone number,https://www.woktowalk.com/locations/spain,No instagram,http://facebook.com/woktowalkinternational,"{'Monday': '12:00 - 01:00', 'Tuesday': '12:00 - 01:00', 'Wednesday': '12:00 - 01:00', 'Thursday': '12:00 - 01:00', 'Friday': '12:00 - 02:00', 'Saturday': '12:00 - 02:00', 'Sunday': '12:00 - 01:00'}",https://www.happycow.net/reviews/wok-to-walk-madrid-138240
35,The Veggie Point,"Various locations throughout Spain (at Based in Madrid.),Madrid,Spain,28021",40.416775,-3.703790,2,5.0,[],6,No price range,+34-636803919,https://theveggiepoint.com/,http://www.instagram.com/theveggiepoint_streetfood,No facebook,{'Horario': 'No hay horario'},https://www.happycow.net/reviews/the-veggie-point-madrid-383874
36,The Treehouse by Superchulo,"C Gran Vía, 55,Madrid,Spain,28013",40.421550,-3.708629,1,5.0,"['Western', 'Mediterranean', 'Spanish']",5,Moderado,+34-911087670,https://superchulorestaurante.com/,No instagram,http://facebook.com/superchulomadrid,"{'Monday': '09:00 - 20:00', 'Tuesday': '09:00 - 20:00', 'Wednesday': '09:00 - 20:00', 'Thursday': '09:00 - 20:00', 'Friday': '09:00 - 20:00', 'Saturday': '09:00 - 20:00', 'Sunday': '09:00 - 20:00'}",https://www.happycow.net/reviews/the-treehouse-by-superchulo-madrid-402145
37,Grosso Napoletano - Malasaña,"11 Calle del Pez,Madrid,Spain,28004",40.423372,-3.705100,3,3.5,['Italian'],19,Moderado,+34-910053691,https://www.grossonapoletano.com/,http://www.instagram.com/grosso_napoletano,http://facebook.com/grossonapoletano,"{'Monday': '13:00 - 23:00', 'Tuesday': '13:00 - 23:00', 'Wednesday': '13:00 - 23:00', 'Thursday': '13:00 - 23:00', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 23:30'}",https://www.happycow.net/reviews/grosso-napoletano-madrid-306836
38,Zenith Brunch & Cocktails,"Calle de Valverde, 28,Madrid,Spain,28004",40.422366,-3.701621,22,3.5,"['European', 'Fusion']",49,Moderado,+34-912124299,http://www.zenithcaffe.es/,No instagram,http://facebook.com/zenithcaffemadrid,"{'Monday': '09:00 - 18:00', 'Tuesday': '09:00 - 18:00', 'Wednesday': '09:00 - 18:00', 'Thursday': '09:00 - 18:00', 'Friday': '09:00 - 18:00', 'Saturday': '09:00 - 18:00', 'Sunday': '09:00 - 18:00'}",https://www.happycow.net/reviews/zenith-brunch-cocktails-madrid-266834
39,Lamucca de Pez,"Pl. de Carlos Cambronero 4,Madrid,Spain,28004",40.423332,-3.703871,2,3.0,"['American', 'International', 'Mediterranean', 'Spanish']",2,Moderado,+34-915210000,https://www.lamuccacompany.com/,No instagram,http://facebook.com/GrupoLamuccaCompany,"{'Monday': '13:00 - 01:30', 'Tuesday': '13:00 - 01:30', 'Wednesday': '13:00 - 01:30', 'Thursday': '13:00 - 02:00', 'Friday': '13:00 - 02:30', 'Saturday': '10:00 - 02:30', 'Sunday': '10:00 - 01:30'}",https://www.happycow.net/reviews/lamucca-de-pez-madrid-298291
40,Viena Capellanes,"C de Bordadores, 9,Madrid,Spain,28013",40.416965,-3.707394,0,0,"['International', 'Spanish']",21,Barato,+34-915595397,http://www.vienacapellanes.com/,http://www.instagram.com/vienacapellanes,http://facebook.com/VienaCapellanes,"{'Monday': '08:00 - 21:00', 'Tuesday': '08:00 - 21:00', 'Wednesday': '08:00 - 21:00', 'Thursday': '08:00 - 21:00', 'Friday': '08:00 - 21:30', 'Saturday': '09:00 - 21:30', 'Sunday': '09:00 - 21:30'}",https://www.happycow.net/reviews/viena-capellanes-madrid-287976
41,Sanissimo - Opera,"Calle Campomanes 5,Madrid,Spain,28013",40.419001,-3.709383,175,4.5,"['Western', 'Spanish']",212,Moderado,+34-911152546,http://www.sanissimo.eu/,http://www.instagram.com/sanissimo_madrid,http://facebook.com/SanissimoOpera,"{'Monday': '13:00 - 23:30', 'Tuesday': '13:00 - 23:30', 'Wednesday': '13:00 - 23:30', 'Thursday': '13:00 - 23:30', 'Friday': '13:00 - 00:00', 'Saturday': '12:00 - 00:00', 'Sunday': '12:00 - 23:30'}",https://www.happycow.net/reviews/sanissimo-opera-madrid-73747
42,La Huerta de Almeria - Malasaña,"Calle Corredera Baja de San Pablo 47,Madrid,Spain",40.423231,-3.702921,46,4.0,['International'],90,Barato,+34-912799254,http://huertadealmeria.com/,No instagram,http://facebook.com/lahuertadealmeria,"{'Monday': '09:00 - 00:00', 'Tuesday': '09:00 - 00:00', 'Wednesday': '09:00 - 00:00', 'Thursday': '09:00 - 00:00', 'Friday': '09:00 - 00:00', 'Saturday': '09:00 - 00:00', 'Sunday': '09:00 - 00:00'}",https://www.happycow.net/reviews/la-huerta-de-almeria-madrid-81172
43,Tierra Burrito Bar - Opera,"Plaza de Isabel II, 5,Madrid,Spain,28013",40.418584,-3.709382,6,3.5,"['American', 'Mexican']",18,Barato,+34-912220476,https://tierraburritos.com/,No instagram,http://facebook.com/TierraBurritoBar,"{'Monday': '12:00 - 00:30', 'Tuesday': '12:00 - 00:30', 'Wednesday': '12:00 - 00:30', 'Thursday': '12:00 - 00:30', 'Friday': '12:00 - 00:30', 'Saturday': '12:00 - 00:30', 'Sunday': '12:00 - 00:30'}",https://www.happycow.net/reviews/tierra-burrito-bar-madrid-222943
44,Fresc Co,"Calle de las Fuentes 12,Madrid,Spain",40.417490,-3.708548,4,3.5,"['Western', 'European', 'Spanish']",9,Moderado,No phone number,http://www.frescco.com/,No instagram,No facebook,"{'Monday': '12:00 - 23:30', 'Tuesday': '12:00 - 23:30', 'Wednesday': '12:00 - 23:30', 'Thursday': '12:00 - 23:30', 'Friday': '12:00 - 23:30', 'Saturday': '12:00 - 23:30', 'Sunday': '12:00 - 23:30'}",https://www.happycow.net/reviews/fresc-co-madrid-74989
45,The Cookie Lab,"Calle del Pez, 16,Madrid,Spain,28004",40.423665,-3.705132,3,2.5,['American'],3,No price range,+34-910850640,https://thecookielab.es/,http://www.instagram.com/thecookielab_es,http://facebook.com/thecookielab1,"{'Monday': '15:00 - 21:00', 'Tuesday': '09:30 - 21:00', 'Wednesday': '09:30 - 21:00', 'Thursday': '09:30 - 21:00', 'Friday': '09:30 - 21:00', 'Saturday': '10:00 - 21:30', 'Sunday': '10:30 - 21:00'}",https://www.happycow.net/reviews/the-cookie-lab-madrid-315428
46,Ramen Shifu - Chueca,"Infantas 14 (at Plaza Pedro Zerolo),Madrid,Spain,28004",40.420759,-3.700001,8,4.0,"['Japanese', 'Asian']",19,Moderado,+34-919202729,https://www.ramenshifu.com/,http://www.instagram.com/ramenshifu,http://facebook.com/ramenshifuchueca,"{'Monday': '13:00 - 16:00, 20:00 - 23:00', 'Tuesday': '13:00 - 16:00, 20:00 - 23:00', 'Wednesday': '13:00 - 16:00, 20:00 - 23:00', 'Thursday': '13:00 - 16:00, 20:00 - 23:00', 'Friday': '13:00 - 16:00, 20:00 - 23:00', 'Saturday': '13:00 - 16:00, 20:00 - 23:00', 'Sunday': '13:00 - 16:00, 20:00 - 23:00'}",https://www.happycow.net/reviews/ramen-shifu-madrid-223352
47,Ramen Shifu  - Plaza España,"C de Isabel la Católica, 15,Madrid,Spain,28013",40.421566,-3.709382,7,4.0,"['Japanese', 'Asian']",14,Moderado,+34-911448402,http://ramenshifu.com/,http://www.instagram.com/ramenshifu,http://facebook.com/RamenShifu,"{'Monday': 'Closed', 'Tuesday': '13:00 - 16:30, 20:00 - 23:30', 'Wednesday': '13:00 - 16:30, 20:00 - 23:30', 'Thursday': '13:00 - 16:30, 20:00 - 23:30', 'Friday': '13:00 - 16:30, 20:00 - 00:00', 'Saturday': '13:00 - 16:30, 20:00 - 00:00', 'Sunday': '13:00 - 16:30, 20:00 - 00:00'}",https://www.happycow.net/reviews/ramen-shifu-madrid-259110
48,La Rollerie - Mayor,"Calle Mayor 24,Madrid,Spain",40.416447,-3.707221,11,3.0,['Spanish'],9,Barato,+34-917569271,http://larollerie.com/,No instagram,No facebook,"{'Monday': '18:00 - 02:00', 'Tuesday': '18:00 - 02:00', 'Wednesday': '18:00 - 02:00', 'Thursday': '18:00 - 02:00', 'Friday': '18:00 - 02:00', 'Saturday': '18:00 - 02:00', 'Sunday': '18:00 - 02:00'}",https://www.happycow.net/reviews/la-rollerie-madrid-86547
